OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
New Sky Coffee,Capulus Foods Private Limited,Ground Floor Unit No 07 D2 Southern Park Building Saket,District Center,South Delhi,New Delhi,110017,New Delhi,FAST FOOD,YES
Govind Pansari,Govind Pansari And Co,207 3 1 North Vijay Nagar Colony Sport Buzz Vijay Nagar Colony,Vijay Nagar Colony,Vijay Nagar Colony,Agra,282004,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,Shop No 2 Anthem Street Sector 15 B Awas Vikas Colony,Sector 15 B,Awas Vikas Colony,Agra,282007,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,Vijayanagar Colony Civil Lines,Civil Lines,Civil Lines,Agra,282004,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,Shop No 3 Bright Complex Bain Bazar Sikandra,Sikandra,Sikandra,Agra,282007,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,6 305 Pandit Kali Charan Tiwari Rd Belanganj Tikonia,Belanganj,Belanganj,Agra,282004,Uttar Pradesh,SUPER MARKET,YES
Amrutha Foods,Amrutha Foods,Netcracker Technology Solutions India Private Limited,7th To 11th Floor Block P2 Divyasree Techridge,Manikonda,Hyderabad,500089,Telangana,CANTEEN / CATERERS,YES
Sai General Store,Gunjan,Rz B 24 Raghu Nagar Pankha Road Palm Village,Pankha Road,Raghu Nagar,New Delhi,110045,New Delhi,SUPER MARKET,YES
Sri Venkata Sai Rice Traders,Kamineni Sireesha,Shop No 2419,Old Mig,Rc Puram,Hyderabad,502032,Telangana,SUPER MARKET,YES
Aj Foods,Aj Foods,"C/O Kpmg, 6th Floor Building No 10 Tower C",Cyber City,Cyber City,Gurgaon,122002,Haryana,CANTEEN / CATERERS,YES
Rk Traders,Nitil Kumar,So Kuber Prasad,Gram Pakri Dyal,Pakri Dyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Rk Traders,Nitil Kumar,North,Pakridyal,Pakridyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Rk Traders,Nitil Kumar,Birt,Bandobasati,Pakridyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Rk Traders,Nitil Kumar,Pakridayal,Near Mandir,Pakridyal,East Champaran,845428,Bihar,SUPER MARKET,YES
